name,url,image_url,scientific_name,conservation_status,size,diet,range,habitat,physical_characteristics,fun_fact
Poison Dart Frogs,https://www.georgiaaquarium.org/animal/poison-dart-frogs/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/poison-dart-frogs-4-250x250.jpg,Dendrobates spp.,Least Concern,2 inches (5 cm),Insects and small invertebrates,Central America to Northern South America,Damp forest floor and low vegetation,"Colors and color patterns vary by species, but all are brightly colored. Spot patterns on each individual are unique and may change as the animal matures. Sizes range from about 1.25-2 inches (3-5 cm). Glands on the skin produce toxins that deter predators. The toxicity is derived from insects that the frog eats and toxicity varies considerably from species to species.","Poison dart frogs’ colors and color patterns vary by species, but all are brightly colored. Spot patterns on each individual are unique and may change as the animal matures."
Porcupine Ray,https://www.georgiaaquarium.org/animal/porcupine-ray/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/porcupine-ray-3-250x250.jpg,Urogymnus asperrimus,Vulnerable,4.8 feet (1.5 m),"Small fish, mollusks, and crustaceans",Indo-Pacific,"Sandy bottom areas, small caves, reefs","The porcupine ray reaches a maximum length of 4.8 feet (1.5 m). Has a very thick, tall body with thin wings that complete its oval appearance. Skin is armored with strong dermal denticles, varying from flat to pointed and thorn-like. Displays countershading, being grey or spotted above and very pale or white ventrally. The tail is thick and lacks a venomous barb.",The porcupine ray is the only species in the genus Urogymnus.
Porkfish,https://www.georgiaaquarium.org/animal/porkfish/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/porkfish-5-250x250.jpg,Anisotremus virginicus,Least Concern,14 inches (36 cm),"Invertebrates, echinoderms, annelids, and crustaceans","Western Atlantic, the Gulf of Mexico and the Caribbean Sea",Shallow inshore waters over reefs and rocky bottoms,"Adults can grow to 14 inches (36 cm) in length and weigh 2 lbs. (1 kg). Porkfish are deep-bodied fish with a blunt snout, thick lips and a small mouth positioned low on the head. The body is bright yellow-gold with two conspicuous black bars on the head and front part of the body. There are alternating blue and yellow stripes on the upper part of the body and whitish with yellow stripes below. The fins are yellow. Young porkfish do not have black bars but do have a large dark spot near the base of the caudal fin.",Porkfish are named for the pig-like grunting sounds they make.
Powder Blue Tang,https://www.georgiaaquarium.org/animal/powder-blue-tang/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/powder-blue-tang-3-250x250.jpg,Acanthurus leucosternon,Least Concern,7.5 inches (19 cm),Algae,Indo-West Pacific,"Reef environments, including reef flats and upper seaward slopes",Common length of 7.5 inches (19 cm). Maximum length of 21 inches (53 cm). The body is deep and laterally compressed. Coloration is light blue to purple with yellow dorsal fin and white anal and pelvic fins. The face is a dark blue to black from below the mouth to the base of the pectoral fins and over the eyes with a white band from the throat to the pectoral fin.,The powder blue tang forms monogamous pairs.
Purple Sea Urchin,https://www.georgiaaquarium.org/animal/purple-sea-urchin/,https://www.georgiaaquarium.org/wp-content/uploads/2018/10/purple-sea-urchin-3-250x250.jpg,Strongylocentrotus purpuratus,Not Evaluated,4 inches (10 cm),"Brown and red algae, kelp, and decaying plant and animal matter",Eastern Pacific Ocean,Rocky shores from the low-tide line,The purple sea urchin is spiny and ovoid-shaped. Its upper surface is domed and the underside is flattened. The mouth has a complex structure made up of five calcium carbonate plates. It is referred to as “Aristotle’s lantern” because he was the first to describe it. This sea urchin grows from a greenish-colored juvenile to a vivid purple adult. It can grow to 4 inches (10 cm) wide and almost 2 inches (5 cm) tall.,
Pyramid Butterflyfish,https://www.georgiaaquarium.org/animal/pyramid-butterflyfish/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/pyramid-butterfly-fish-3-250x250.jpg,Hemitaurichthys polylepis,Least Concern,7 inches (18 cm),Zooplankton,Indo-Pacific,Outer reef slopes,"The pyramid butterflyfish is readily identifiable by its distinctive coloration. The head is brown and black and the dorsal and anal fins are orange-yellow. The yellow color on the dorsal fin extends downward behind the head and on the posterior body toward the causal peduncle. The majority of the side of this fish is white, as are the caudal peduncle, caudal fin and pectoral fin. This species draws its name from the large white triangle on the side that is formed by the yellow area above the caudal peduncle and the triangular patch behind the head. Pyramid butterflyfish grows to 7 inches (18 cm) in length.","Th pyramid butterflyfish is common throughout its range, forming large aggregations over steep, current-swept outer reef slopes."
Raccoon Butterflyfish,https://www.georgiaaquarium.org/animal/raccoon-butterflyfish/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/raccoon-butterfly-fish-3-250x250.jpg,Chaetodon lunula,Least Concern,8 inches (20 cm),"Nudibranchs, benthic invertebrates",Indo-Pacific,Shallow reef flats of lagoons and seaward reefs,"Readily identifiable by its distinctive coloration. The body and fins are bright yellow shading to brown on the upper back. There are thin, brownish diagonal bars on their sides. The caudal peduncle is marked with a black spot. Draws its name from the black bar on the head that passes through the eye with an equally broad white bar behind. These two bars together give the appearance of a raccoon’s mask. Grows to about 8 inches (20 cm) in length.",The life span of the raccoon butterfly fish is believed to be up to 9 years.
Red Lionfish,https://www.georgiaaquarium.org/animal/red-lionfish/,https://www.georgiaaquarium.org/wp-content/uploads/2019/05/red-lionfish-3-250x250.jpg,Pterois volitans,Least Concern,12-15 inches (30.5-38 cm),"Small fish, crustaceans and other invertebrates","Indian, Pacific and Atlantic Oceans","Reefs, lagoons, estuaries and shipwrecks","The red lionfish is known for its elongated fin elements and distinctive color pattern. Coloration is highly variable depending on geographic location, habitat and water depth. It is zebra-banded with narrow reddish or golden brown vertical bars stretching across a whitish-to-yellow background. The soft dorsal, anal and caudal fins have dark rows of spots on a clear background. It has a fleshy “tentacle” above each eye and tentacles below the mouth. This lionfish ranges in length from 12-15 inches (30.5-38 cm). It can weigh 2.6 lbs. (1 kg). This species has venomous spines on the dorsal, anal and pelvic fins. The feather-like pectoral fins have no venomous spines.",The red lionfish is one of the most venomous of all fishes.
Red Piranha,https://www.georgiaaquarium.org/animal/red-piranha/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/red-piranha-4-250x250.jpg,Pygocentrus nattereri,Not Evaluated,6-8 inches (15-20 cm),"Fish, insects, worms",South America,Creeks and interconnected ponds,"Male and female red piranhas are very similar in appearance. The average length of an adult is 6-8 inches (15-20 cm), although it can grow to 20 inches (51 cm) and 8.5 lbs. (4 kg). The stocky body has a reddish belly, though overall coloration varies depending on age and location. Other colorations include sides that are often pale brown to slightly olive and backs that are bluish-gray with silver flecks throughout. The powerful jaws house sharp, triangular, interlocking teeth.","Red Piranhas are highly predaceous carnivores that scavenge for food; consuming insects, snails, worms, plants and even nipping the fins of other fishes."
Red-Eared Slider,https://www.georgiaaquarium.org/animal/red-eared-slider/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/red-eared-slider-3-250x250.jpg,Trachemys scripta elegans,Least Concern,5-8 inches (13-20 cm),Omnivorous,North America,Quiet waters with muddy bottoms,"The red-eared slider has a prominent red patch on the side of its head. In rare instances, this patch will be yellow. Occasionally, due to melanism the coloration of a red-eared slider’s shell, head, tail and limbs become increasingly dark. These dark individuals can completely lack many identifying characteristics. This condition is more common among males. The lower jaw of a slider is rounded, whereas it is flat for members of other genera. The carapace is commonly 5-8 inches (13-20 cm) long with a maximum size of 11.4 inches (29 cm).","Occasionally, due to melanism, the coloration of a red-eared slider’s shell, head, tail and limbs become increasingly dark. This condition is more common among males."
Redbreast Sunfish,https://www.georgiaaquarium.org/animal/redbreast-sunfish/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/redbreast-sunfish-31-250x250.jpg,Lepomis auritus,Least Concern,12 inches (30.5 cm),"Insects, snails, planktonic insect larvae",North America,"Rocky and sandy pools of creeks, small to medium rivers",The redbreast sunfish can reach lengths of 12 inches (30.5 cm) and weights of 1.8 lbs. (0.8 kg). Dark olive dorsally with yellow flecks; rows of red-brown to orange spots are displayed on the upper sides. The male has a bright orange breast and belly as well as orange fins when spawning.,The male redbreast sunfish guards the eggs and young.
Reef Manta Ray,https://www.georgiaaquarium.org/animal/reef-manta/,https://www.georgiaaquarium.org/wp-content/uploads/2019/12/reef-manta-3-250x250.jpg,Mobula alfredi,Vulnerable,18 feet (5.5 m) wingspan,Plankton and small fish,"Eastern Atlantic, Indo-West Pacific and the Indian Ocean","Reefs, atolls, island groups and continental shelves","The reef manta has a broad head with an enormous wide mouth flanked by two broad, flexible, fleshy lobes (cephalic fins). These lobes are usually kept rolled and pointed forward except when the manta is feeding. At this time, the cephalic lobes will open and extend. Sometimes called the “devil ray” because when rolled and projected forward, the cephalic lobes have the appearance of horns. The maximum adult size is about 18 feet (5.5 m) in wingspan. This species of manta may show great variation in pattern, but generally can be described as such:Dorsal surface is dark in color with lighter shoulder patches. The shoulder patches ofM. alfrediare less defined, and more mottled than those ofM. birostris.The underside is mostly white, dotted with black or charcoal spots. It lacks the dark border present on the ventral surface ofM. birostris.Patterns on the shoulders and underside exhibit vary and help identify individual animals. Dorsal surface is dark in color with lighter shoulder patches. The shoulder patches ofM. alfrediare less defined, and more mottled than those ofM. birostris. The underside is mostly white, dotted with black or charcoal spots. It lacks the dark border present on the ventral surface ofM. birostris. Patterns on the shoulders and underside exhibit vary and help identify individual animals. Dermal denticles on skin are evenly spaced but not arranged in a linear pattern. The mouth is white to pale grey. The tail is whip-like but has no barb or bony mass at the base. This is an identifying feature of this species.","Reef manta rays are frequently observed around reefs, atolls, island groups and continental shelves."
Reticulated Hillstream Loach,https://www.georgiaaquarium.org/animal/reticulated-hillstream-loach/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/reticulated-hillstream-loach-3-250x250.jpg,Sewellia lineolata,Vulnerable,2.2 inches (6 cm),"Aquatic insects, larval insects, crayfish, smaller fishes",Asia,Rapids and swift-moving streams with good plant cover,"The reticulated hillstream loach is black and yellow, spotted along the head and back. Spots run together along the sides to form long stripes. The body is dorsoventrally flattened, and the pectoral and pelvic fins are wide and round. This species grows to a maximum length of 2.2 inches (5.7 cm).","The reticulated hillstream loach's body is dorsoventrally flattened, and the pectoral and pelvic fins are wide and round."
Roseate Spoonbill,https://www.georgiaaquarium.org/animal/roseate-spoonbill/,https://www.georgiaaquarium.org/wp-content/uploads/2023/06/roseate-spoonbill-3-250x250.jpg,Ajaia ajaja,Least Concern,"32 inches (81.3 cm) in length, weighs about 2.3 lbs. (1 kg)","Small fish, aquatic invertebrates, plant material","Southeast U.S. through Central America, the Caribbean and South America",Shallow waters and marsh areas,"Wings, tail and legs are a light pink to dark red color, neck and back are lighter in color to completely white. Bill is long and spoon-shaped (where the name comes from) and has a distinct yellow-green color. Can grow to be about 32 inches (81.3 cm) in length and typically weighs about 2.3 lbs (1 kg).","Roseate Spoonbills will use sticks from mangrove trees to build large, deep nests."
Roughtail Stingray,https://www.georgiaaquarium.org/animal/roughtail-stingray/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/yellowtail-snapper-250x250.jpg,Dasyatis centroura,Vulnerable,7 feet (2.1 m),"Bottom-living crustaceans, cephalopods and bony fishes",Atlantic Ocean,Sandy and muddy bottoms from near shore,"One of the largest stingrays, the roughtail stingray grows to about 7 feet (2.1 m) across its disc and 14 feet (4.3 m) long, including the tail. It can weigh as much as 660 lbs. (300 kg). Has a trapezoid-shaped disc with an anterior margin that is straight to slightly concave and a posterior margin that is slightly convex. Outer corners are abruptly rounded. Disc has numerous scattered spines, particularly across its shoulders. The most distinguishable characteristic of this stingray is its tail, which contains numerous rows of small thorns and is long, slender and whip-like. The tail can be about two and a half times the length of the body. The roughtail stingray is brown to gray dorsally and pale ventrally.",The roughtail stingray is capable of inflicting a painful wound with the spines that line its tail.
Round Ribbontail Ray,https://www.georgiaaquarium.org/animal/round-ribbontail-ray/,https://www.georgiaaquarium.org/wp-content/uploads/2018/10/scalefin-anthias-3-250x250.jpg,Taeniurops meyeni,Vulnerable,11 feet (3.4 m),"Bottom dwelling fishes, bivalves, crabs and shrimp",Indo-West Pacific,Reefs and shallow lagoons to outer reef slopes,"Maximum length of nearly 11 feet (3.4 m) (snout to tail). Disc widths of about 10 feet (3 m) and weights of 330 lbs. (150 kg) have been reported. Deep and prominent ventral skin fold that extends to the tail tip. Large stingray with a circular disc, no thorns, and a black and white mottled upper surface.",The round ribbontail ray blows water to find prey hidden in the sand.
Saddled Bichir,https://www.georgiaaquarium.org/animal/saddled-bichir/,https://www.georgiaaquarium.org/wp-content/uploads/2019/07/saddled-bichir-2-250x250.jpg,Polypterus endlicheri,Least Concern,12 inches (30.5 cm),"Snails, crustaceans, small fish",West Africa,"Swamps, rivers, and marshes",Common length of 12 inches (30.5 cm); maximum length of 24.8 inches (63 cm). The lower jaw is longer than the upper jaw. The body is cylindrical in shape and covered with ganoid scales. Pectoral and anal fins are low on the body giving a leg-like appearance. A dorsal array of 7 to 16 dorsal fins begins behind the edge of the pectoral fins and ends with a fan-like caudal fin. Juveniles’ gills are external and become internal as they mature. Coloration is white or grey to a lighter brown with 3 to 4 irregularly-shaped vertical stripes along the length of the body.Light coloration between stripes resembles the shape of a horse saddle. Light coloration between stripes resembles the shape of a horse saddle.,The saddled bichir gulps air from the surface in both oxygen-poor and oxygen-rich environments.
Sailfin Snapper,https://www.georgiaaquarium.org/animal/sailfin-snapper/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/sailfin-snapper-3-250x250.jpg,Symphorichthys spilurus,Least Concern,19 inches (48 cm),"Small fishes, bottom-dwelling crustaceans, mollusks",Indo-Pacific,Sandy areas near coral reefs,"Common length of 19 inches (48 cm). Maximum length of 23.6 inches (60 cm). Deep body with long dorsal and anal fins. Coloration is yellow with blue stripes along the sides, a large, dark spot on the base of the tail and two orange bars running vertically over the eyes and behind the head. Juveniles are grey to silver in color with a wide black stripe running down the side of the body from the head to the tail base with yellow dorsal and anal fins.",
Sailfin Tang,https://www.georgiaaquarium.org/animal/sailfin-tang/,https://www.georgiaaquarium.org/wp-content/uploads/2018/10/sailfin-tang-3-250x250.jpg,Zebrasoma veliferum,Least Concern,15 inches (38 cm),Leafy macro algae,Indo-West Pacific,Lagoon and seaward reefs,"Identified by its tall, enlarged dorsal and anal fins which are dark gray to brown with pale bands. Has white bars alternating with grey to brown bars with a white to yellowish and brown caudal fin that has no spots. Small juveniles have alternating yellow and black bars with translucent tails. The dorsal and anal fins are greatly enlarged. Adults can reach 15 inches (38 cm) in length.",The sailfin tang has fewer and larger pharyngeal teeth compared to other Zebrasoma species.
Sandbar Shark,https://www.georgiaaquarium.org/animal/sandbar-shark/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/sandbar-shark-5-250x250.jpg,Carcharhinus plumbeus,Endangered,6 feet (2 m) in length,"Bony fishes, smaller sharks, rays, cephalopods, gastropods, crabs and shrimp","Tropical Atlantic, Pacific, and Indian Oceans",Tropical and warm temperate waters worldwide,"Typically, a sandbar shark is about 6 feet (2 m) in length and weighs 100 to 200 lbs. (45 to 90 kg). The size record for this species is just over 8 feet (2.5 m) and 260 lbs. (118 kg). Females are usually heavier than males. The sandbar shark has a stout body with a moderately long, rounded snout and a large first dorsal fin. This shark exhibits countershading; it is gray-brown to bronze on the back and flanks, and white underneath. The tips and margins of the fins are sometimes darker than the rest of the body.","The sandbar shark is listed as “Endangered” on the International Union for the Conservation of Nature Red List. It is targeted in some fisheries and caught for its meat, oil, skin and fins."
Scarlet Ibis,https://www.georgiaaquarium.org/animal/scarlet-ibis/,https://www.georgiaaquarium.org/wp-content/uploads/2023/06/scarlet-ibis-2-250x250.jpg,Eudocimus ruber,Least Concern,"2.2 lbs (1 kg), 30 inches (76 cm) long","Small fish, crustaceans, mollusks, worms and insects",South America and occasionally Florida,Coastal areas and wetlands,"Bright red to pink in color with long legs, necks and beaks. Usually have a darker blue or black color on wing tips. Typically weigh around 2.2 lbs (1 kg) or less and are about 30 inches (76 cm) long. Juveniles are duller in color, typically a grey-brown color with a white underside.",Adults will make a “honking” noise as a form of communication.
Sergeant Major,https://www.georgiaaquarium.org/animal/sergeant-major/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/sergeant-major-3-250x250.jpg,Abudefduf saxatilis,Least Concern,9 inches (23 cm),"Algae, small crustaceans",Atlantic Ocean,"Shallow coral and rocky reefs, sea grass beds",Adults can reach lengths of about 9 inches (23 cm) and weigh about 0.5 lb. (227 gm). Sergeant majors have five black vertical body bars; their upper body is usually yellow.,The sergeant major is a nest-building species and males will guard the eggs after spawning.
Sharknose Goby,https://www.georgiaaquarium.org/animal/sharknose-goby/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/sharknose-goby-2-250x250.jpg,Elacatinus evelynae,Least Concern,1.6 inches (4.1 cm),Parasites off of other fish,Western Atlantic Ocean,"Clear, insular coral reefs","Individuals typically measure around 1.6 inches (4.1 cm) in length. The mouth is terminal: near the tip of its pointed snout. Pelvic fins join to form a cup-like suction disk. Coloration is dark, with a yellow stripe in front of each eye joining at its snout to form a “V.” A dark line extends from its snout past its gill opening to the caudal, or tail, fin.",The pelvic fins of sharknose goby join to form a cup-like suction disk.
Shovelnose Sturgeon,https://www.georgiaaquarium.org/animal/shovelnose-sturgeon/,https://www.georgiaaquarium.org/wp-content/uploads/2018/10/shovelnose-sturgeon-5-250x250.jpg,Scaphirhynchus platorynchus,Vulnerable,3.3 feet (1 m),"Aquatic insect larvae, burrowing mayflies, caddisfly larvae",North America,"Bottom of main channels and bays of large, turbid rivers, where currents are strong","Has a broad shovel-shaped snout with four fringed barbels in front of its mouth, which is on the underside of its head. Upper and lower lips each have four distinct fleshy lobes. The body tapers abruptly towards the tail. The caudal peduncle is slender and well armored, flat in cross section and covered with bony plates. Scale-like scutes, or bony external plates, cover the belly except on the smallest young. Pale to medium gray or brownish dorsally and white below. The maximum length is recorded at 3.3 feet (1 m) and the maximum published weight is 11 lbs. (5 kg).",Shovelnose sturgeons use barbels to detect prey at the bottom of rivers.
Silvertip Shark,https://www.georgiaaquarium.org/animal/silvertip-shark/,https://www.georgiaaquarium.org/wp-content/uploads/2020/09/silvertip-shark-3-250x250.jpg,Carcharhinus albimarginatus,Vulnerable,6-8 feet (2-2.4 m),"Fish, small sharks and rays, cephalopods, octopuses, squids and crustaceans",Western Indian Ocean,"Offshore islands, coral banks and reefs","The body is long and slender with a broad, rounded snout and distinct large eyes. 12-14 strong, serrated teeth in both the lower and upper jaw. Large pectoral fins that are narrowly rounded or pointed at the tips. Coloration varies between a dark gray, brown-gray or blue-gray dorsal surface with a bronzy sheen that fades into a white ventral surface. The most distinguishing feature is the white tips and borders on all fins. Closely resembles the grey reef shark and the whitetip reef shark. These species differ slightly in coloration; the grey reef shark has dark tips on its pectoral fins and the whitetip reef shark only has the white tip on the dorsal fin, not the pectoral fins. Common length between 6-8 feet (2-2.4 m). The maximum recorded length is 9.8 feet (2.9 m). The maximum recorded weight is 357.6 pounds (162.2 kg). Females tends to be larger than males.",
Smallmouth Buffalo,https://www.georgiaaquarium.org/animal/smallmouth-buffalo/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/smallmouth-buffalo-5-250x250.jpg,Ictiobus bubalus,Least Concern,Up to 3.6 ft (1.1 m),"Invertebrates, insects, shellfish, algae",North America,"Pools, backwaters, and main channels of small to large rivers","The back and sides of the smallmouth buffalo are light brown or otherwise dark with a coppery or greenish tint. Its underside is a pale yellow to white. This species is second in size among suckers to the bigmouth buffalo. It can be distinguished from the bigmouth buffalo by its small, downward-oriented mouth. In comparison, the mouth of the bigmouth buffalo is forward-facing and larger. Also, the smallmouth buffalo’s back is more elevated, or humped, than that of the bigmouth buffalo. The maximum length is listed as 3.6 ft (1.1 m). While the maximum weight has been reported to be 81.6 lbs. (37.3 kg).","The smallmouth buffalo requires fairly clean and deep water, and its population has declined due to pollution."
Smallmouth Grunt,https://www.georgiaaquarium.org/animal/smallmouth-grunt/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/smallmouth-grunt-3-250x250.jpg,Haemulon chrysargyreum,Least Concern,Up to 9 inches (23 cm),"Plankton, small crustaceans, mollusks and worms",Western Atlantic Ocean,Exposed rocky areas and coral reefs,Reaches a maximum size of about 9 inches (23 cm). It has a smaller mouth than other grunts. The smallmouth grunt has a bluish-silver or silver-white body color with five or six yellow stripes.,
Southern Sea Otter,https://www.georgiaaquarium.org/animal/southern-sea-otter/,https://www.georgiaaquarium.org/wp-content/uploads/2018/08/southern-sea-otter-3-250x250.jpg,Enhydra lutris nereis,Endangered,4 feet (1.2 m) long,Sea urchins and other invertebrates,Northern Pacific Ocean and southern Bering Sea,Marine habitat with rocky or muddy sea bottoms and kelp forests,"Adult southern sea otters are approximately 4 feet (1.2 m) in length. Adult males average 65 lbs. (29.5 kg) and adult females average 45 lbs. (20 kg) in weight. A newborn southern sea otter pup is a buff color, 22 to 24 inches (55-60 cm) in length and 4 to 5 lbs. (1.8-2.3 kg). The southern sea otter is dark to reddish brown in color with a lighter-colored head, throat, and chest. It has a long, stout body with a short broad head and snout with thick whiskers on the cheeks. The tail is short in comparison to those of other otters. Webbed hind feet that can be spread wide like flippers are well adapted for swimming. Forepaws are smaller with retractable claws and are used to groom, eat, and hold tools for breaking open prey. Classified as a marine “fissiped”, the sea otter is an aquatic carnivore that is well-adapted for its life at sea. The digits on its front paws are separated and covered, similar to mittens. Its claws are retractable and the front paws have rough pads. These features help sea otters more easily grasp their slippery or spiny prey. On the hind paws, the pads are reduced and may be absent, except on the toes. The fifth digit or little toe is longer than all other otters, allowing the sea otter to spread its webbing wider when swimming. The majority of the southern sea otter’s teeth are flattened molars for crushing and chewing shelled, invertebrate prey. The otter has a set of canine teeth as well. Major tooth wear is a cause of mortality in older otters. Webbed hind feet that can be spread wide like flippers are well adapted for swimming. The sea otter’s body is covered in dense fur that constantly must be groomed to maintain its insulating properties and cleanliness; therefore, a sea otter will spend a large amount of time grooming. This thick coat helps to maintain its body temperature in cold ocean water. The fur of the sea otter is the densest of all mammals at about 350,000 to 1,000,000 hairs per square inch, compared to dogs which only have 1,000 to 60,000 hairs per square inch. The sea otter’s fur also is designed to trap air to further insulate it from the cold water and to provide additional buoyancy.","Southern sea otters can store food in ""pockets"" under their foreleg."
Southern Stingray,https://www.georgiaaquarium.org/animal/southern-stingray/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/southern-stingray-5-250x250.jpg,Hypanus americanus,Near Threatened,6.5 feet (2 m),"Bony bottom-dwelling fishes, crabs, worms, clams, and shrimp",Western Atlantic,"Sand, in seagrass meadows, lagoons and reefs",The maximum recorded width is 6.5 feet (2 m). The maximum published weight is 214 lbs (97 kg). The southern stingray can be distinguished from other rays by the irregular row of short spines on the upper surface along the center of its back. The disc of the southern stingray is more diamond-shaped and angular than the discs of other benthic rays. Little is known about its average lifespan and growth rate. The upper surface of the southern stingray ranges in color from solid gray to brown to olive green with no markings. The ventral side is white or whitish with a gray or brown edging.,The venom in a stingray's barb is heat sensitive and breaks down at higher temperatures.
Spanish Hogfish,https://www.georgiaaquarium.org/animal/spanish-hogfish/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/spanish-hogfish-3-250x250.jpg,Bodianus rufus,Least Concern,16 inches (41 cm),"Brittle sea stars, crustaceans, mollusks and sea urchins.",Western Atlantic,Rocky and coral reefs,"Spanish hogfish can reach a maximum size of 16 inches (41 cm) long and is covered with large scales. Dorsal, anal and pelvic fins are mostly blue or red-yellow near the trailing edge. Individuals in shallow water have a blue upper body and head with a yellow lower body and tail. A red color replaces the blue body coloration in those individuals inhabiting deep water.",The Spanish hogfish is a protogynous hermaphrodite. It begins life as a female and then changes into a male.
Splendid Garden Eel,https://www.georgiaaquarium.org/animal/splendid-garden-eel/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/splendid-garden-eel-3-250x250.jpg,Gorgasia preclara,Least Concern,Up to 16 inches (41 cm),Zooplankton,Indo-Pacific,Sandy slopes,"Has a whitish, snake-like body covered with yellow to orange colored stripes. Can grow to about 16 inches (41 cm) in length. Body diameter to about 0.4 inches (1 cm). Has large eyes and a small pectoral fin.",Garden eels use their tails to dig burrows and will rarely leave.
Spotted Eagle Ray,https://www.georgiaaquarium.org/animal/spotted-eagle-ray/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/spotted-eagle-ray-3-250x250.jpg,Aetobatus narinari,Endangered,4-5 feet (1.2-1.5 m),"Fish, cephalopods, crustaceans",Indo-Pacific and the Atlantic Ocean,"Tropical and warm temperate waters, over the continental shelf","Adult spotted eagle rays can reach a width of 10.8 feet (3.3 m) and a total length of 16.4 feet (5 m) with an undamaged tail. Can reach a maximum weight of 507 lbs. (230 kg). Its body, or disc, is very angular and thick, with a broad snout that is flat and rounded like a duck’s bill. There are large spiracles located directly behind the eye. The wing-like pectoral fins are broad with pointed tips. Long whip-like tail reaching lengths of 2.5 to 3 times the width of the disc. There are 2 to 6 barbed spines at the base of the tail. It has a single row of broad, flat teeth in each jaw that combine to form upper and lower plates for crushing its shelled prey. The spotted eagle ray has a distinctive pattern of small whitish spots across the back, which is black, dark gray or bluish in color. The ventral surface is white. Its smooth skin lacks significant denticles or thorns.",The spotted eagle ray can jump out of the water if pursued.
Spotted Garden Eel,https://www.georgiaaquarium.org/animal/spotted-garden-eel/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/spotted-garden-eel-3-250x250.jpg,Heteroconger hassi,Least Concern,14-16 inches (36-41 cm),"Crustaceans, mollusks, fish",Indo-Pacific,Sandy slopes,"Has a whitish body densely-covered with small black spots. Three larger black spots are seen along the side of the body: one at the gill opening, one near the pectoral fin and another at the base of the tail. Juveniles are entirely black. Can grow to about 24 inches (61 cm) in length although individuals of 14-16 inches (36-41 cm) are more common. Body diameter to about 0.5 inches (1.3 cm).",
Spotted Ratfish,https://www.georgiaaquarium.org/animal/spotted-ratfish/,https://www.georgiaaquarium.org/wp-content/uploads/2018/10/spotted-ratfish-3-250x250.jpg,Hydrolagus colliei,Least Concern,1-4 feet (30.5-122 cm),"Shrimp, clams, worms, sea stars, mollusks and fish",Every ocean except the Arctic and Antarctic waters,On or near muddy bottoms,Characterized by a large head and an elongated body that tapers to a whip-like tail. Ranges in size from 1-4 feet (30-122 cm). Skin is smooth and rubbery lacking any scales or denticles. Bronzy brown on top with large bluish-white spots and silvery on the underside of the body. The small and blunt rodent-like snout has teeth formed into three pairs of tooth plates tending to protrude from the mouth like a rodent’s incisors. Hence the common name “ratfish” or ”rabbitfish.” Large green eyes and a small mouth. Pectoral (side) fins are large. Long venomous spine before the first dorsal fin. There is a second dorsal fin that merges with the tapered (caudal) tail fin. Sexually dimorphic; males and females are different in appearance. Adult males possess two obvious secondary sexual characteristics: a bulbous or club-shaped knob on top of their heads above the eye and pelvic claspers extending from the posterior edge of the pelvic fins.,The spotted ratfish defends itself with a venomous spine.
Spotted Wobbegong,https://www.georgiaaquarium.org/animal/spotted-wobbegong/,https://www.georgiaaquarium.org/wp-content/uploads/2018/09/spotted-wobbegong-4-250x250.jpg,Orectolobus maculatus,Least Concern,10.5 feet (3.2 m),Bottom invertebrates and bony fishes,"Indian Ocean, Southern and Western Australia","Coral and rocky reefs, sandy bottoms","The spotted wobbegong can reach a maximum length of about 10.5 feet (3.2 m). This shark has a distinctive body shape- its head and body are very flattened and the pectoral and pelvic fins are broad. It has a wide mouth and there is a large crescent-shaped spiracle behind each eye. A few branching skin flaps run continuously from the pectoral fins around the front of the head forming a lace-like beard below the mouth. The species possess a spiracle, which allows it to breathe while remaining motionless on the bottom. The body and fins display a variegated pattern featuring dark saddles on the back and densely covered with pale ring-shaped markings. There is a dark triangular mark between the eyes.","The spotted wobbegong possess a spiracle, which allows it to breathe while remaining motionless on the bottom."
